VENDOR CODE,PO NUMBER,MSG ID,ORDER DATE,DELIVERY DATE,STORE CODE,STORE DESCRIPTION,VENDOR PRODUCT CODE,BARCODE NUMBER,DESCRIPTION,PACK SIZE,QTY,COST PRICE (Incl VAT),CURRENCY,PO TYPE
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PCP900,16001007300231,PNP CHICKEN POLONY 900GR,10.00,2.00,660.80,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PCV1,46001007259301,PNP CHICKEN VIENNAS 1KG,10.00,1.00,556.70,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PCV500,56001007294842,PNP CHICKEN VIENNAS 500GR,10.00,5.00,1486.50,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PPSV1,36001007295715,PNP SMOKED VIENNAS 1KG,10.00,2.00,978.20,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PPSV500,26001007300313,PNP SMOKED VIENNAS 500GR,10.00,4.00,1060.40,ZAR,Allocation DC
1000005555,4561659453,817861136,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PVP3.0,6009613421701,VENCOR V/P PROCESSED MEATS 3KG,4.00,1.00,475.20,ZAR,Allocation DC
1000001415,4561659450,817861135,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PDF1,96001000016432,DELI PNP FOOTLONG RUSSIAN CW 1PK,5.00,1.00,219.50,ZAR,Allocation DC
1000001415,4561659450,817861135,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PDR1,16001000016948,DELI PNP RUSSIAN CW 1PK,5.00,1.00,219.50,ZAR,Allocation DC
1000001415,4561659450,817861135,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PDS500,36001007293797,PNP SMOKEYS 500GR,15.00,4.00,1050.00,ZAR,Allocation DC
1000001415,4561659450,817861135,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PDV500,26001007293783,DELI PNP SMOKED VIENNAS 500GR,16.00,9.00,2520.00,ZAR,Allocation DC
1000001415,4561659450,817861135,2019-06-18,2019-06-24,MA08,PnP KZN EWM DC,PRV1,36001007287321,DELI PNP RED VIENNA 1PK,5.00,2.00,339.70,ZAR,Allocation DC
1000001415,4561663340,817849541,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PDF1,96001000016432,DELI PNP FOOTLONG RUSSIAN CW 1PK,5.00,3.00,658.50,ZAR,Allocation DC
1000001415,4561663340,817849541,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PDR1,16001000016948,DELI PNP RUSSIAN CW 1PK,5.00,3.00,658.50,ZAR,Allocation DC
1000001415,4561663340,817849541,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PDS1,16001000016849,DELI PNP SMOKEY CW 1PK,5.00,3.00,509.55,ZAR,Allocation DC
1000001415,4561663340,817849541,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PDS500,36001007293797,PNP SMOKEYS 500GR,15.00,26.00,6825.00,ZAR,Allocation DC
1000001415,4561663340,817849541,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PDV500,26001007293783,DELI PNP SMOKED VIENNAS 500GR,16.00,27.00,7560.00,ZAR,Allocation DC
1000001415,4561663340,817849541,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PRV1,36001007287321,DELI PNP RED VIENNA 1PK,5.00,6.00,1019.10,ZAR,Allocation DC
1000001415,4561663340,817849541,2019-06-18,2019-06-23,MA09,PNP LONGMEADOW PERISHABLES DC,PSV1,36001007287345,DELI PNP SMOKED VIENNA 1PK,5.00,5.00,849.25,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,NNB001,36001007308460,NO NAME CHICKEN VIENNAS 1KG,12.00,6.00,2554.56,ZAR,Allocation DC
1000005555,4561653978,817841583,2019-06-18,2019-06-24,EA91,FDC PE NORTHEND WAREHOUSE,NNB002,56001007308341,NO NAME SMOKED VIENNAS 1KG,12.00,12.00,5109.12,ZAR,Allocation DC
